ENGINE_LOAD,ENGINE_COOLANT_TEMP,ENGINE_SPEED,VEHICLE_SPEED,INTAKE_AIR_TEMP,THROTTLE_POSITION,RUN_TIME_SINCE_ENGINE_START
56.86274509803921,36,2062.5,21,13,18.03921568627451,115
34.509803921568626,36,1300.75,19,13,17.647058823529413,116
36.07843137254902,36,1371.0,18,13,16.470588235294116,117
32.549019607843135,36,1316.5,14,13,16.862745098039216,118
32.549019607843135,36,1316.5,9,13,16.862745098039216,118
34.11764705882353,37,1074.25,4,13,16.862745098039216,119
45.88235294117647,37,898.5,0,13,16.862745098039216,120
43.13725490196078,37,980.5,0,13,16.862745098039216,121
40.3921568627451,37,1078.25,0,13,16.862745098039216,122
39.6078431372549,37,1062.5,0,13,16.862745098039216,123
40.3921568627451,37,1054.75,0,13,16.862745098039216,124
40.3921568627451,37,1086.0,0,13,16.862745098039216,125
40.0,38,1086.0,0,13,17.254901960784313,126
40.0,38,1070.25,0,13,17.254901960784313,126
